product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,total_lead_time,cost_per_unit,shipping_delay_flag,inventory_health,defeat_category,estimated_profit
haircare,SKU30,8.022859211,10,327,2766.342367,Male,60,26,35,7,Carrier B,8.954528315,Supplier 4,Kolkata,27,806,30,51.6348934,Pending,0.965394705,Road,Route C,880.0809882,56,2.691379169,0,25,Low Defects,-14261.13518
skincare,SKU31,50.84739305,28,168,9655.135103,Male,6,17,44,4,Carrier B,2.679660965,Supplier 3,Chennai,24,461,8,60.25114566,Pending,2.989000007,Rail,Route C,609.3792066,25,3.627257182,0,-38,Medium Defects,-1579.830438
skincare,SKU32,79.20993602,43,781,9571.550487,Unknown,89,13,64,4,Carrier C,6.599104901,Supplier 3,Kolkata,30,737,7,29.69246715,Pass,1.946036119,Road,Route A,761.1739095,20,0.974614481,0,25,Medium Defects,38673.14319
cosmetics,SKU33,64.795435,63,616,5149.99835,Non-binary,4,17,95,9,Carrier C,4.858270503,Supplier 5,Chennai,1,251,23,23.85342751,Fail,3.541046012,Sea,Route A,371.2552955,40,0.602687168,0,-91,High Defects,25220.27661
skincare,SKU34,37.46759233,96,602,9061.710896,Unknown,1,26,21,7,Carrier A,1.019487571,Supplier 1,Chennai,4,452,10,10.75427282,Pass,0.646604559,Road,Route B,510.3580004,36,0.847770765,0,-20,Low Defects,16081.41835
cosmetics,SKU35,84.95778682,11,449,6541.329345,Female,42,27,85,8,Carrier C,5.28818999,Supplier 1,Delhi,3,367,2,58.00478704,Pass,0.541154098,Sea,Route C,553.4204712,29,1.232562297,0,-43,Low Defects,12101.8969
skincare,SKU36,9.813002579,34,963,7573.402458,Female,18,23,28,3,Carrier B,2.107951267,Supplier 2,Delhi,26,671,19,45.53136424,Fail,3.805533379,Air,Route C,403.8089742,42,0.419323961,0,-10,High Defects,-34396.78228
skincare,SKU37,23.39984475,5,963,2438.33993,Female,25,8,21,9,Carrier A,1.532655274,Supplier 3,Kolkata,24,867,15,34.34327747,Pending,2.610288085,Sea,Route A,183.932968,23,0.190999967,1,4,Medium Defects,-10538.52571
cosmetics,SKU38,52.07593068,75,705,9692.31804,Non-binary,69,1,88,5,Carrier B,9.235931437,Supplier 5,Mumbai,10,841,12,5.930693646,Pending,0.613326899,Air,Route B,339.6728699,13,0.481805489,1,-19,Low Defects,32532.39211
skincare,SKU39,19.12747727,26,176,1912.465663,Female,78,29,34,3,Carrier A,5.562503779,Supplier 2,Kolkata,30,791,6,9.005807429,Fail,1.451972204,Air,Route B,653.6729946,35,3.714051106,0,44,Medium Defects,1781.413892
skincare,SKU40,80.54142417,97,933,5724.95935,Female,90,20,39,8,Carrier C,7.22959514,Supplier 1,Kolkata,18,793,1,88.1794071,Pending,4.213269431,Road,Route A,529.808724,21,0.56785501,0,51,High Defects,-7126.238074
skincare,SKU41,99.11329162,35,556,5521.205259,Female,64,19,38,8,Carrier B,5.773263744,Supplier 4,Chennai,18,892,7,95.33206455,Fail,0.045302262,Sea,Route A,275.5243711,26,0.49554743,0,26,Low Defects,2102.362251
skincare,SKU42,46.52916761,98,155,1839.609426,Female,22,27,57,4,Carrier C,7.526248327,Supplier 5,Bangalore,26,179,7,96.42282064,Fail,4.939255289,Road,Route A,635.6571205,34,4.101013681,0,-35,High Defects,-7733.51622
haircare,SKU43,11.74327178,6,598,5737.425599,Unknown,36,29,85,9,Carrier B,3.694021268,Supplier 5,Mumbai,1,206,23,26.27736596,Pending,0.372304768,Air,Route A,716.0441198,52,1.197398194,0,-49,Low Defects,-8691.38832
cosmetics,SKU44,51.35579091,34,919,7152.286049,Female,13,19,72,6,Carrier C,7.577449657,Supplier 2,Delhi,7,834,18,22.55410662,Fail,2.96262632,Rail,Route A,610.4532696,37,0.664258182,0,-59,Medium Defects,26468.74786
haircare,SKU45,33.78413803,1,24,5267.956808,Male,93,7,52,6,Carrier B,5.215155009,Supplier 2,Chennai,25,794,25,66.31254444,Pass,3.219604612,Rail,Route A,495.305697,32,20.63773738,0,41,High Defects,-780.6817538
haircare,SKU46,27.0822072,75,859,2556.767361,Non-binary,92,29,6,8,Carrier B,4.070955837,Supplier 3,Chennai,18,870,23,77.32235321,Pending,3.648610593,Road,Route B,380.4359371,52,0.442882348,0,86,High Defects,-43156.28542
skincare,SKU47,95.71213588,93,910,7089.47425,Male,4,15,51,9,Carrier B,8.978750756,Supplier 1,Kolkata,10,964,20,19.71299291,Pending,0.380573587,Rail,Route A,581.6023551,35,0.639123467,0,-47,Low Defects,69159.2201
haircare,SKU48,76.03554443,28,29,7397.071005,Non-binary,30,16,9,3,Carrier C,7.095833157,Supplier 2,Mumbai,9,109,18,23.12636358,Fail,1.698112541,Rail,Route B,768.651914,34,26.50523841,0,21,Medium Defects,1534.366245
cosmetics,SKU49,78.89791321,19,99,8001.613207,Unknown,97,24,9,6,Carrier C,2.505621033,Supplier 5,Delhi,28,177,28,14.14781544,Pass,2.825813985,Rail,Route A,336.8901685,52,3.402930995,0,88,Medium Defects,6410.259679
cosmetics,SKU50,14.20348426,91,633,5910.88539,Female,31,23,82,10,Carrier A,6.247860915,Supplier 2,Delhi,20,306,21,45.17875792,Fail,4.754800805,Rail,Route B,496.2486503,44,0.783963113,0,-51,High Defects,-19607.34823
haircare,SKU51,26.70076097,61,154,9866.465458,Male,100,4,52,1,Carrier A,4.783000558,Supplier 5,Bangalore,18,673,28,14.19032834,Pending,1.772951172,Road,Route A,694.9823176,32,4.512872192,0,48,Medium Defects,1926.606625
skincare,SKU52,98.03182966,1,820,9435.762609,Male,64,11,11,1,Carrier B,8.63105218,Supplier 1,Mumbai,10,727,27,9.166849149,Pending,2.122471619,Air,Route C,602.8984988,38,0.735242072,0,53,Medium Defects,72869.28402
skincare,SKU53,30.34147071,93,242,8232.334829,Male,96,25,54,3,Carrier B,1.013486566,Supplier 1,Delhi,1,631,17,83.34405899,Pending,1.410347576,Air,Route B,750.7378407,42,3.102222482,0,42,Medium Defects,-12826.62636
haircare,SKU54,31.14624316,11,622,6088.02148,Non-binary,33,22,61,3,Carrier B,4.305103471,Supplier 1,Kolkata,26,497,29,30.18602338,Pass,2.478771976,Road,Route B,814.0699966,51,1.308794207,0,-28,Medium Defects,597.2567032
haircare,SKU55,79.85505834,16,701,2925.67517,Male,97,11,11,5,Carrier A,5.014364955,Supplier 2,Delhi,27,918,5,30.32354526,Fail,4.548919659,Sea,Route B,323.012928,16,0.46078877,0,86,High Defects,34721.59067
skincare,SKU56,20.98638604,90,93,4767.020484,Non-binary,25,23,83,5,Carrier C,1.774429714,Supplier 1,Mumbai,24,826,28,12.83628457,Pass,1.173755495,Air,Route B,832.2108087,51,8.948503319,0,-58,Medium Defects,757.9594367
haircare,SKU57,49.26320535,65,227,1605.8669,Unknown,5,18,51,1,Carrier B,9.160558535,Supplier 2,Delhi,21,588,25,67.77962299,Pending,2.51117483,Rail,Route A,482.1912386,43,2.124190478,0,-46,Medium Defects,-4203.226804
skincare,SKU58,59.84156138,81,896,2021.14981,Non-binary,10,5,44,7,Carrier A,4.938438565,Supplier 3,Delhi,18,396,7,65.04741509,Fail,1.73037472,Road,Route B,110.3643352,12,0.123174481,1,-34,Medium Defects,-4664.444924
cosmetics,SKU59,63.82839835,30,484,1061.618523,Non-binary,100,16,26,7,Carrier B,7.293722597,Supplier 1,Kolkata,11,176,4,1.900762244,Fail,0.447194015,Air,Route A,312.5742736,20,0.645814615,0,74,Low Defects,29972.97588
skincare,SKU60,17.02802792,16,380,8864.08435,Female,41,27,72,8,Carrier C,4.381368158,Supplier 4,Mumbai,29,929,24,87.21305782,Fail,2.853090617,Rail,Route A,430.169097,51,1.132023939,0,-31,Medium Defects,-26670.31136
haircare,SKU61,52.0287499,23,117,6885.589351,Unknown,32,23,36,7,Carrier C,9.030340423,Supplier 4,Kolkata,14,480,12,78.70239397,Fail,4.367470538,Air,Route A,164.3665282,35,1.404842121,0,-4,High Defects,-3120.816356
cosmetics,SKU62,72.79635396,89,270,3899.746834,Unknown,86,2,40,7,Carrier C,7.291701389,Supplier 2,Mumbai,13,751,14,21.04864273,Pass,1.874001404,Sea,Route C,320.8465158,16,1.188320429,1,46,Medium Defects,13971.88203
skincare,SKU63,13.01737679,55,246,4256.949141,Non-binary,54,19,10,4,Carrier A,2.457933528,Supplier 3,Bangalore,18,736,10,20.07500398,Pending,3.63284329,Sea,Route A,687.2861779,29,2.793846252,0,44,High Defects,-1736.176289
skincare,SKU64,89.63409561,11,134,8458.730878,Female,73,27,75,6,Carrier C,4.585353468,Supplier 1,Delhi,17,328,6,8.693042426,Fail,0.159486315,Air,Route C,771.2250847,33,5.75541108,0,-2,Low Defects,10846.10113
skincare,SKU65,33.69771721,72,457,8354.579686,Male,57,24,54,8,Carrier C,6.580541348,Supplier 5,Kolkata,16,358,21,1.597222743,Fail,4.911095955,Rail,Route C,555.8591037,45,1.21632189,0,3,High Defects,14669.92597
skincare,SKU66,26.03486977,52,704,8367.721618,Female,13,17,19,8,Carrier A,2.216142729,Supplier 5,Kolkata,24,867,28,42.08443674,Fail,3.448063288,Road,Route A,393.8433486,45,0.559436575,0,-6,High Defects,-11298.89515
skincare,SKU67,87.75543235,16,513,9473.798033,Unknown,12,9,71,9,Carrier C,9.147811545,Supplier 1,Mumbai,10,198,11,7.057876147,Pass,0.131955444,Sea,Route C,169.2718014,20,0.329964525,0,-59,Low Defects,41397.84633
haircare,SKU68,37.93181238,29,163,3550.218433,Non-binary,0,8,58,8,Carrier B,1.194251865,Supplier 2,Bangalore,2,375,18,97.11358156,Fail,1.983467872,Rail,Route A,299.7063031,26,1.838688976,0,-58,Medium Defects,-9646.628376
skincare,SKU69,54.86552852,62,511,1752.381087,Non-binary,95,1,27,3,Carrier B,9.70528679,Supplier 4,Kolkata,9,862,7,77.62776581,Pending,1.362387989,Air,Route A,207.6632062,8,0.406385922,1,68,Medium Defects,-11631.50326
haircare,SKU70,47.91454182,90,32,7014.887987,Female,10,12,22,4,Carrier B,6.315717755,Supplier 1,Bangalore,22,775,16,11.44078182,Pass,1.830575599,Road,Route C,183.2728987,28,5.727278084,0,-12,Medium Defects,1167.16032
cosmetics,SKU71,6.381533163,14,637,8180.337085,Female,76,2,26,6,Carrier A,9.228190317,Supplier 2,Bangalore,2,258,10,30.66167748,Pending,2.078750608,Road,Route A,405.1670679,12,0.636055052,1,50,Medium Defects,-15466.45193
cosmetics,SKU72,90.20442752,88,478,2633.121981,Non-binary,57,29,77,9,Carrier A,6.59961416,Supplier 1,Bangalore,21,152,11,55.7604929,Pending,3.213329607,Rail,Route B,677.9445698,40,1.418294079,0,-20,High Defects,16464.20075
cosmetics,SKU73,83.85101768,41,375,7910.886916,Male,17,25,66,5,Carrier B,1.512936837,Supplier 4,Chennai,13,444,4,46.8702388,Fail,4.620546065,Road,Route A,866.4728001,29,2.310594134,0,-49,High Defects,13867.79208
haircare,SKU74,3.170011414,64,904,5709.945296,Female,41,6,1,5,Carrier A,5.23765465,Supplier 4,Delhi,1,919,9,80.58085216,Fail,0.396612724,Rail,Route A,341.5526568,15,0.377823735,0,40,Low Defects,-69979.40003
skincare,SKU75,92.99688423,29,106,1889.07359,Non-binary,16,20,56,10,Carrier C,2.473897761,Supplier 1,Chennai,25,759,11,48.06478264,Pass,2.030069089,Air,Route C,873.129648,31,8.237072151,0,-40,Medium Defects,4762.802769
haircare,SKU76,69.10879955,23,241,5328.375984,Male,38,1,22,10,Carrier A,7.054538337,Supplier 2,Bangalore,25,985,24,64.3235978,Pending,2.180037452,Rail,Route A,997.4134501,25,4.138645021,1,16,Medium Defects,1153.233622
haircare,SKU77,57.44974296,14,359,2483.760178,Unknown,96,28,57,4,Carrier B,6.780946626,Supplier 1,Kolkata,26,334,5,42.95244475,Pass,3.055141818,Road,Route B,852.5680989,33,2.374841501,0,39,High Defects,5204.530057
haircare,SKU78,6.306883176,50,946,1292.458418,Unknown,5,4,51,5,Carrier B,8.467049771,Supplier 5,Mumbai,25,858,21,71.12651472,Pending,4.096881332,Sea,Route C,323.5922034,25,0.34206364,1,-46,High Defects,-61319.37144
haircare,SKU79,57.05703122,56,198,7888.723268,Non-binary,31,25,20,1,Carrier B,6.496325364,Supplier 3,Bangalore,5,228,12,57.87090292,Pending,0.165871627,Air,Route C,351.5042193,37,1.775273835,0,11,Low Defects,-161.1465966
skincare,SKU80,91.12831835,75,872,8651.672683,Unknown,39,14,41,2,Carrier C,2.833184679,Supplier 3,Chennai,8,202,5,76.96122802,Fail,2.849662199,Sea,Route B,787.7798505,19,0.90341726,0,-2,Medium Defects,12353.70277
haircare,SKU81,72.81920693,9,774,4384.4134,Unknown,48,6,8,5,Carrier B,4.066277502,Supplier 3,Delhi,28,698,1,19.78959294,Pending,2.547547122,Rail,Route B,276.7783359,7,0.357594749,0,40,Medium Defects,41044.92123
skincare,SKU82,17.03493074,13,336,2943.381868,Unknown,42,19,72,1,Carrier A,4.708181874,Supplier 2,Mumbai,6,955,26,4.465278435,Pending,4.137877049,Road,Route C,589.9785556,45,1.755888558,0,-30,High Defects,4223.403174
haircare,SKU83,68.91124621,82,663,2411.754632,Unknown,65,24,7,8,Carrier B,4.949839578,Supplier 1,Bangalore,20,443,5,97.7305938,Fail,0.773006134,Road,Route A,682.9710182,29,1.030122199,0,58,Low Defects,-19107.22745
haircare,SKU84,89.10436729,99,618,2048.2901,Unknown,73,26,80,10,Carrier A,8.381615625,Supplier 5,Chennai,24,589,22,33.80863651,Pass,4.843456577,Air,Route B,465.457006,48,0.753166676,0,-7,High Defects,34172.76162
cosmetics,SKU85,76.96299442,83,25,8684.613059,Female,15,18,66,2,Carrier C,8.249168705,Supplier 5,Chennai,4,211,2,69.92934552,Fail,1.374429,Road,Route B,842.68683,20,33.7074732,0,-51,Medium Defects,175.8412225
skincare,SKU86,19.99817694,18,223,1229.591029,Unknown,32,14,22,6,Carrier B,1.45430531,Supplier 1,Mumbai,4,569,18,74.60897,Pass,2.051512931,Rail,Route A,264.2548898,32,1.184999506,0,10,Medium Defects,-12178.20685
haircare,SKU87,80.41403665,24,79,5133.846701,Male,5,7,55,10,Carrier A,6.575803798,Supplier 3,Chennai,27,523,17,28.69699682,Fail,3.693737788,Sea,Route B,879.3592177,24,11.13112934,1,-50,High Defects,4085.646147
cosmetics,SKU88,75.27040698,58,737,9444.742033,Male,60,18,85,7,Carrier A,3.801253133,Supplier 2,Mumbai,21,953,11,68.18491906,Pending,0.722204402,Sea,Route A,103.916248,29,0.14099898,0,-25,Low Defects,5222.004597
cosmetics,SKU89,97.76008558,10,134,5924.682567,Unknown,90,1,27,8,Carrier B,9.929816245,Supplier 1,Kolkata,23,370,11,46.60387338,Pending,1.907665734,Rail,Route B,517.4999739,12,3.861940104,1,63,Medium Defects,6854.932435
skincare,SKU90,13.8819135,56,320,9592.63357,Non-binary,66,18,96,7,Carrier B,7.674430708,Supplier 3,Bangalore,8,585,8,85.67596334,Pass,1.219382224,Rail,Route B,990.0784725,26,3.093995227,0,-30,Medium Defects,-22974.09595
cosmetics,SKU91,62.11196546,90,916,1935.206794,Male,98,22,85,7,Carrier B,7.471514084,Supplier 4,Delhi,5,207,28,39.7728825,Pending,0.626001858,Rail,Route B,996.778315,50,1.088185933,0,13,Low Defects,20462.59999
cosmetics,SKU92,47.71423308,44,276,2100.129755,Male,90,25,10,8,Carrier B,4.469500026,Supplier 2,Mumbai,4,671,29,62.6126904,Pass,0.333431825,Rail,Route B,230.0927825,54,0.833669502,0,80,Low Defects,-4111.97422
haircare,SKU93,69.290831,88,114,4531.402134,Unknown,63,17,66,1,Carrier C,7.006432059,Supplier 4,Chennai,21,824,20,35.63365234,Fail,4.165781795,Air,Route A,823.5238459,37,7.223893385,0,-3,High Defects,3836.918367
cosmetics,SKU94,3.037688725,97,987,7888.356547,Unknown,77,26,72,9,Carrier B,6.942945942,Supplier 2,Delhi,12,908,14,60.38737861,Pass,1.463607498,Rail,Route B,846.665257,40,0.857816876,0,5,Medium Defects,-56604.14392
haircare,SKU95,77.90392722,65,672,7386.363944,Unknown,15,14,26,9,Carrier B,8.63033887,Supplier 4,Mumbai,18,450,26,58.89068577,Pending,1.21088213,Air,Route A,778.8642414,40,1.159024169,0,-11,Medium Defects,12776.89825
cosmetics,SKU96,24.42313142,29,324,7698.424766,Non-binary,67,2,32,3,Carrier C,5.352878044,Supplier 3,Mumbai,28,648,28,17.80375633,Pending,3.872047681,Road,Route A,188.7421411,30,0.582537473,1,35,High Defects,2144.677529
haircare,SKU97,3.526111259,56,62,4370.91658,Male,46,19,4,9,Carrier A,7.904845611,Supplier 4,Mumbai,10,535,13,65.76515593,Fail,3.376237835,Road,Route A,540.1324229,32,8.711813273,0,42,High Defects,-3858.82077
skincare,SKU98,19.75460487,43,913,8525.95256,Female,53,1,27,7,Carrier B,1.409801095,Supplier 5,Chennai,28,581,9,5.604690864,Pending,2.908122169,Rail,Route A,882.1988635,10,0.966263815,1,26,Medium Defects,12918.87149
haircare,SKU99,68.5178327,17,627,9185.185829,Unknown,55,8,59,6,Carrier B,1.311023756,Supplier 2,Chennai,29,921,2,38.07289852,Fail,0.346027291,Rail,Route B,210.743009,10,0.336113252,0,-4,Low Defects,19088.97373
